id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
23,Mayank Markande,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mayank-markande-1081442
24,Mohd Izhar,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mohd-izhar-1512648
25,Raghu Sharma,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/raghu-sharma-1122621
1,Shreyas Iyer,PBKS,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519
2,Priyansh Arya,PBKS,,Opening Batter,Left,,,,,https://www.espncricinfo.com/cricketers/priyansh-arya-1175456
3,Pyla Avinash,PBKS,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/pyla-avinash-1324449
4,Harnoor Singh,PBKS,,Batter,Left,,,,,https://www.espncricinfo.com/cricketers/harnoor-singh-1292496
5,Prabhsimran Singh,PBKS,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024
6,Vishnu Vinod,PBKS,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
7,Nehal Wadhera,PBKS,,Top order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
8,Azmatullah Omarzai,PBKS,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429
9,Cooper Connolly,PBKS,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/cooper-connolly-1210488
10,Marco Jansen,PBKS,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/marco-jansen-696401
11,Musheer Khan,PBKS,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/musheer-khan-1316430
12,Mitchell Owen,PBKS,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/mitchell-owen-1213979
13,Shashank Singh,PBKS,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/shashank-singh-377534
14,Marcus Stoinis,PBKS,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
15,Suryansh Shedge,PBKS,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/suryansh-shedge-1339698
16,Arshdeep Singh,PBKS,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
17,Xavier Bartlett,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/xavier-bartlett-1050545
18,Yuzvendra Chahal,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
19,Praveen Dubey,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/praveen-dubey-777515
20,Ben Dwarshuis,PBKS,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/ben-dwarshuis-679567
21,Lockie Ferguson,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
22,Harpreet Brar,PBKS,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
23,Vishal Nishad,PBKS,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vishal-nishad-1449053
