name,team,playerLink
Satvik Deswal,RCB,https://www.espncricinfo.com/cricketers/satvik-deswal-1515302
Jacob Duffy,RCB,https://www.espncricinfo.com/cricketers/jacob-duffy-547766
Richard Gleeson,RCB,https://www.espncricinfo.com/cricketers/richard-gleeson-473191
Josh Hazlewood,RCB,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284
Bhuvneshwar Kumar,RCB,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
Vicky Ostwal,RCB,https://www.espncricinfo.com/cricketers/vicky-ostwal-1292520
Rasikh Salam,RCB,https://www.espncricinfo.com/cricketers/rasikh-salam-1161489
Suyash Sharma,RCB,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792
Swapnil Singh,RCB,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
Nuwan Thushara,RCB,https://www.espncricinfo.com/cricketers/nuwan-thushara-955235
Yash Dayal,RCB,https://www.espncricinfo.com/cricketers/yash-dayal-1159720
Salil Arora,SRH,https://www.espncricinfo.com/cricketers/salil-arora-1199281
Travis Head,SRH,https://www.espncricinfo.com/cricketers/travis-head-530011
Ishan Kishan,SRH,https://www.espncricinfo.com/cricketers/ishan-kishan-720471
Heinrich Klaasen,SRH,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
Ravichandran Smaran,SRH,https://www.espncricinfo.com/cricketers/ravichandran-smaran-1327722
Aniket Verma,SRH,https://www.espncricinfo.com/cricketers/aniket-verma-1409976
Abhishek Sharma,SRH,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
RS Ambrish,SRH,https://www.espncricinfo.com/cricketers/rs-ambrish-1489146
Harsh Dubey,SRH,https://www.espncricinfo.com/cricketers/harsh-dubey-1216159
Krains Fuletra,SRH,https://www.espncricinfo.com/cricketers/krains-fuletra-1467631
Liam Livingstone,SRH,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Kamindu Mendis,SRH,https://www.espncricinfo.com/cricketers/kamindu-mendis-784373
Nitish Kumar Reddy,SRH,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496
Harshal Patel,SRH,https://www.espncricinfo.com/cricketers/harshal-patel-390481
Shivang Kumar,SRH,https://www.espncricinfo.com/cricketers/shivang-kumar-1512089
Brydon Carse,SRH,https://www.espncricinfo.com/cricketers/brydon-carse-596417
Jack Edwards,SRH,https://www.espncricinfo.com/cricketers/jack-edwards-1088610
Shivam Mavi,SRH,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848
Pat Cummins,SRH,https://www.espncricinfo.com/cricketers/pat-cummins-489889
Amit Kumar,SRH,https://www.espncricinfo.com/cricketers/amit-kumar-1512257
Gerald Coetzee,SRH,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010
Praful Hinge,SRH,https://www.espncricinfo.com/cricketers/praful-hinge-1216167
Dilshan Madushanka,SRH,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007
Eshan Malinga,SRH,https://www.espncricinfo.com/cricketers/eshan-malinga-1306214
Sakib Hussain,SRH,https://www.espncricinfo.com/cricketers/sakib-hussain-1340422
Onkar Tarmale,SRH,https://www.espncricinfo.com/cricketers/onkar-tarmale-1515304
Jaydev Unadkat,SRH,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
Zeeshan Ansari,SRH,https://www.espncricinfo.com/cricketers/zeeshan-ansari-942371
David Payne,SRH,https://www.espncricinfo.com/cricketers/david-payne-362710
